date,currency,cot_index,cot_index_4w_change,net_pct_change_1w,momentum_acceleration,oi_delta_direction,oi_net_confluence,flip_flag,extreme_flag,usd_index_cot,rank_in_8,spread_vs_usd,weeks_since_flip,lev_funds_net_index,asset_mgr_net_direction,dealer_net_contrarian,lev_vs_assetmgr_divergence,rate_diff_vs_usd,rate_diff_trend_3m,rate_hike_expectation,cpi_diff_vs_usd,cpi_trend,pmi_composite_diff,yield_10y_diff,vix_regime,gold_cot_index,oil_cot_direction,month,quarter,label
2006-03-03,CAD,50.0,0.0,15.447339261868908,30.411682813876183,1,1,0,0,50.0,1.0,0.0,130.0,50.0,0,50.0,0.0,-0.5899999999999999,0.0,1,0.0,0,0.0,0.0,0,0.0,0.0,3,1,NEUTRAL
2006-03-03,CHF,50.0,0.0,-84.61663286004057,-68.96551724137932,1,3,0,0,50.0,1.0,0.0,3.0,50.0,0,50.0,0.0,-3.47680056521739,0.0,1,0.0,0,0.0,0.0,0,0.0,0.0,3,1,BEAR
2006-03-03,EUR,50.0,0.0,82.46901338621714,101.0213187902826,1,1,0,0,50.0,1.0,0.0,156.0,50.0,0,50.0,0.0,0.0,0.0,0,0.0,0,0.0,-1.0426086956521696,0,0.0,0.0,3,1,NEUTRAL
2006-03-03,GBP,50.0,0.0,58.80991901815804,34.852371611085964,1,1,0,0,50.0,1.0,0.0,4.0,50.0,0,50.0,0.0,-0.002589999999999648,0.0,-1,0.0,0,0.0,-0.3622999999999994,0,0.0,0.0,3,1,NEUTRAL
2006-03-03,JPY,50.0,0.0,67.94082939986514,90.59620139357159,-1,2,0,0,50.0,1.0,0.0,178.0,50.0,0,50.0,0.0,-4.49,0.0,-1,0.0,0,0.0,-2.921,0,0.0,0.0,3,1,NEUTRAL
2006-03-03,NZD,50.0,0.0,-19.955837703560587,-9.246480817002483,-1,4,0,0,50.0,1.0,0.0,107.0,50.0,0,50.0,0.0,2.9000000000000004,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,3,1,BEAR
2006-03-10,AUD,50.0,0.0,-310.6181818181818,-119.63636363636363,1,3,1,0,50.0,1.0,0.0,0.0,50.0,0,50.0,0.0,0.0,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,3,1,BEAR
2006-03-10,CAD,50.0,0.0,1.69562435398927,-11.684795983659004,1,1,0,0,50.0,1.0,0.0,130.0,50.0,0,50.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0,0.0,3,1,BULL
2006-03-10,CHF,50.0,0.0,32.28589845008936,78.11959801939585,-1,2,0,0,50.0,1.0,0.0,4.0,50.0,0,50.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0,0.0,3,1,BULL
2006-03-10,EUR,50.0,0.0,-24.584284316922073,-69.78045864579937,1,3,0,0,50.0,1.0,0.0,156.0,50.0,0,50.0,0.0,0.0,0.0,0,0.0,0,0.0,-1.1226086956521697,0,0.0,0.0,3,1,NEUTRAL
2006-03-10,GBP,50.0,0.0,-50.73879594578092,-193.51569178165832,1,3,0,0,50.0,1.0,0.0,5.0,50.0,0,50.0,0.0,0.0,0.0,-1,0.0,0,0.0,-0.44229999999999947,0,0.0,0.0,3,1,NEUTRAL
2006-03-10,JPY,50.0,0.0,-83.30046886639498,-295.223697471627,1,3,0,0,50.0,1.0,0.0,178.0,50.0,0,50.0,0.0,0.0,0.0,1,0.0,0,0.0,-3.001,0,0.0,0.0,3,1,NEUTRAL
2006-03-10,NZD,50.0,0.0,-1.862068965517241,23.06896551724138,1,3,0,0,50.0,1.0,0.0,107.0,50.0,0,50.0,0.0,0.0,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,3,1,BEAR
2006-03-17,AUD,50.0,0.0,156.42265193370167,303.90193370165747,-1,2,1,0,50.0,1.0,0.0,0.0,50.0,0,50.0,0.0,0.0,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,3,1,NEUTRAL
2006-03-17,CAD,50.0,0.0,-66.06974324226218,-67.73709556421363,-1,4,0,0,50.0,1.0,0.0,130.0,50.0,0,50.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0,0.0,3,1,BEAR
2006-03-17,CHF,50.0,0.0,-4.662181165220777,-52.341907708283756,-1,4,0,0,50.0,1.0,0.0,5.0,50.0,0,50.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0,0.0,3,1,BEAR
2006-03-17,EUR,50.0,0.0,101.64288802421098,134.24124513618676,-1,2,0,0,50.0,1.0,0.0,156.0,50.0,0,50.0,0.0,0.0,0.0,0,0.0,0,0.0,-1.0426086956521696,0,0.0,0.0,3,1,NEUTRAL
