date,currency,noncomm_long,noncomm_short,open_interest,net,lev_funds_long,lev_funds_short,lev_funds_net,asset_mgr_long,asset_mgr_short,asset_mgr_net,dealer_long,dealer_short,dealer_net
2014-06-10,CHF,9615,12645,52445,-3030,0,0,0,0,0,0,23525,8754,14771
2014-06-10,EUR,43739,100924,331636,-57185,0,0,0,0,0,0,135220,25794,109426
2014-06-10,GBP,85202,49360,271602,35842,0,0,0,0,0,0,16548,121212,-104664
2014-06-10,JPY,11893,94055,201094,-82162,0,0,0,0,0,0,97764,16200,81564
2014-06-10,NZD,20401,3546,32946,16855,0,0,0,0,0,0,1282,19549,-18267
2014-06-10,USD,36218,36256,53957,-38,0,0,0,0,0,0,9837,7457,2380
2014-06-17,AUD,61078,34049,99400,27029,0,0,0,0,0,0,2701,35555,-32854
2014-06-17,CAD,34582,56115,132209,-21533,0,0,0,0,0,0,21019,25774,-4755
2014-06-17,CHF,15296,11776,32259,3520,0,0,0,0,0,0,5020,2190,2830
2014-06-17,EUR,51405,113240,285489,-61835,0,0,0,0,0,0,122240,17681,104559
2014-06-17,GBP,100434,47838,250231,52596,0,0,0,0,0,0,1934,105766,-103832
2014-06-17,JPY,17832,85870,153007,-68038,0,0,0,0,0,0,84148,7588,76560
2014-06-17,NZD,21671,17938,28467,3733,0,0,0,0,0,0,1628,3984,-2356
2014-06-17,USD,42883,21361,55245,21522,0,0,0,0,0,0,10876,29818,-18942
2014-06-24,AUD,65612,32149,101998,33463,0,0,0,0,0,0,1319,38262,-36943
2014-06-24,CAD,40595,45915,103193,-5320,0,0,0,0,0,0,10590,15211,-4621
2014-06-24,CHF,9069,14441,33599,-5372,0,0,0,0,0,0,11790,2902,8888
2014-06-24,EUR,55062,112565,291244,-57503,0,0,0,0,0,0,124921,17971,106950
2014-06-24,GBP,98098,48347,254369,49751,0,0,0,0,0,0,3909,110583,-106674
2014-06-24,JPY,10325,81548,148257,-71223,0,0,0,0,0,0,80770,9012,71758
2014-06-24,NZD,24855,18703,31415,6152,0,0,0,0,0,0,1580,6040,-4460
2014-06-24,USD,44700,23005,58484,21695,0,0,0,0,0,0,10783,29781,-18998
2014-07-01,AUD,76598,37719,114918,38879,0,0,0,0,0,0,1913,46781,-44868
2014-07-01,CAD,44755,42060,111438,2695,0,0,0,0,0,0,10697,29589,-18892
2014-07-01,CHF,9731,16991,35221,-7260,0,0,0,0,0,0,11949,1517,10432
2014-07-01,EUR,52665,113441,291488,-60776,0,0,0,0,0,0,123003,17969,105034
2014-07-01,GBP,99929,43517,255911,56412,0,0,0,0,0,0,2551,111137,-108586
2014-07-01,JPY,18739,77425,156480,-58686,0,0,0,0,0,0,75858,23509,52349
2014-07-01,NZD,26563,17578,33455,8985,0,0,0,0,0,0,1625,9156,-7531
2014-07-01,USD,43256,23199,58275,20057,0,0,0,0,0,0,10574,28786,-18212
2014-07-08,AUD,66705,30102,101860,36603,0,0,0,0,0,0,1715,38666,-36951
2014-07-08,CAD,58245,47950,128555,10295,0,0,0,0,0,0,14134,43397,-29263
2014-07-08,CHF,9136,15949,35053,-6813,0,0,0,0,0,0,12000,1770,10230
2014-07-08,EUR,51595,110860,294381,-59265,0,0,0,0,0,0,131401,16599,114802
2014-07-08,GBP,86614,44975,254788,41639,0,0,0,0,0,0,8530,108837,-100307
2014-07-08,JPY,11174,77549,157710,-66375,0,0,0,0,0,0,84162,22591,61571
2014-07-08,NZD,26750,12334,36123,14416,0,0,0,0,0,0,636,11103,-10467
2014-07-08,USD,38732,19030,54011,19702,0,0,0,0,0,0,10574,28477,-17903
2014-07-15,AUD,70881,31138,105209,39743,0,0,0,0,0,0,1428,40282,-38854
2014-07-15,CAD,60353,44732,129787,15621,0,0,0,0,0,0,14739,48192,-33453
2014-07-15,CHF,8799,15061,35007,-6262,0,0,0,0,0,0,12027,992,11035
2014-07-15,EUR,59506,122352,310661,-62846,0,0,0,0,0,0,134432,15670,118762
2014-07-15,GBP,85983,47213,255115,38770,0,0,0,0,0,0,9926,109054,-99128
2014-07-15,JPY,8385,71333,155127,-62948,0,0,0,0,0,0,84732,27713,57019
2014-07-15,NZD,26570,11117,32879,15453,0,0,0,0,0,0,762,11352,-10590
2014-07-15,USD,37482,19810,53919,17672,0,0,0,0,0,0,10937,28474,-17537
2014-07-22,AUD,72170,33377,109341,38793,0,0,0,0,0,0,1593,43872,-42279
2014-07-22,CAD,62078,41497,129188,20581,0,0,0,0,0,0,14675,50759,-36084
2014-07-22,CHF,9642,17022,38359,-7380,0,0,0,0,0,0,15132,57,15075
2014-07-22,EUR,58142,146965,339706,-88823,0,0,0,0,0,0,155038,13639,141399
2014-07-22,GBP,71792,44295,241155,27497,0,0,0,0,0,0,11792,96954,-85162
2014-07-22,JPY,11979,65895,162029,-53916,0,0,0,0,0,0,84823,37392,47431
2014-07-22,NZD,26028,10896,32728,15132,0,0,0,0,0,0,1058,12842,-11784
2014-07-22,USD,41404,22783,57646,18621,0,0,0,0,0,0,11328,28998,-17670
2014-07-29,AUD,69348,29742,106836,39606,0,0,0,0,0,0,2829,43072,-40243
2014-07-29,CAD,56459,33768,122619,22691,0,0,0,0,0,0,14554,54184,-39630
2014-07-29,CHF,8665,20429,44022,-11764,0,0,0,0,0,0,20678,39,20639
2014-07-29,EUR,56562,164637,356865,-108075,0,0,0,0,0,0,171311,13610,157701
2014-07-29,GBP,75370,50460,237411,24910,0,0,0,0,0,0,10315,86866,-76551
2014-07-29,JPY,7828,80897,172210,-73069,0,0,0,0,0,0,95609,26794,68815
2014-07-29,NZD,23552,8263,30531,15289,0,0,0,0,0,0,1861,13761,-11900
2014-07-29,USD,55881,36470,74037,19411,0,0,0,0,0,0,12031,30232,-18201
